"INDEX_NAME"	"SITE_TYPE"	"METRIC_NAME"	"SAMPLEID"	"METRIC_VALUE"	"INDEX_REGION"	"LEVEL"	"NUMERIC_RULES"	"SYMBOL"	"LOWER"	"UPPER"	"INCREASE"	"DESCRIPTION"	"RULE_TYPE"	"MEMBERSHIP"	"NAME_WIDE"
"BCG_CT_2015"	"bug01"	"ni_total"	"7955.4-13_10_2_2018_1_First"	201	"bug01"	2	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule0"	1	"bug01_L2_Rule0_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"7955.4-13_10_2_2018_1_First"	201	"bug01"	3	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule0"	1	"bug01_L3_Rule0_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"7955.4-13_10_2_2018_1_First"	201	"bug01"	4	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule0"	1	"bug01_L4_Rule0_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"7955.4-13_10_2_2018_1_First"	201	"bug01"	2	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule1"	1	"bug01_L2_Rule1_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"16-B-101_10_25_2016_1_First"	163	"bug01"	2	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule0"	1	"bug01_L2_Rule0_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"16-B-101_10_25_2016_1_First"	163	"bug01"	3	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule0"	1	"bug01_L3_Rule0_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"16-B-101_10_25_2016_1_First"	163	"bug01"	4	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule0"	1	"bug01_L4_Rule0_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"16-B-101_10_25_2016_1_First"	163	"bug01"	2	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule1"	1	"bug01_L2_Rule1_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"16-B-097_10_25_2016_1_First"	217	"bug01"	2	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule0"	1	"bug01_L2_Rule0_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"16-B-097_10_25_2016_1_First"	217	"bug01"	3	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule0"	1	"bug01_L3_Rule0_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"16-B-097_10_25_2016_1_First"	217	"bug01"	4	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule0"	1	"bug01_L4_Rule0_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"16-B-097_10_25_2016_1_First"	217	"bug01"	2	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule1"	1	"bug01_L2_Rule1_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"16-B-092_10_24_2016_1_First"	184	"bug01"	2	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule0"	1	"bug01_L2_Rule0_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"16-B-092_10_24_2016_1_First"	184	"bug01"	3	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule0"	1	"bug01_L3_Rule0_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"16-B-092_10_24_2016_1_First"	184	"bug01"	4	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule0"	1	"bug01_L4_Rule0_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"16-B-092_10_24_2016_1_First"	184	"bug01"	2	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule1"	1	"bug01_L2_Rule1_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"16-B-093_10_24_2016_1_First"	182	"bug01"	2	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule0"	1	"bug01_L2_Rule0_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"16-B-093_10_24_2016_1_First"	182	"bug01"	3	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule0"	1	"bug01_L3_Rule0_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"16-B-093_10_24_2016_1_First"	182	"bug01"	4	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule0"	1	"bug01_L4_Rule0_ni_total"
"BCG_CT_2015"	"bug01"	"ni_total"	"16-B-093_10_24_2016_1_First"	182	"bug01"	2	">110 (100-120)"	">"	100	120	TRUE	NA	"Rule1"	1	"bug01_L2_Rule1_ni_total"
