"SAMPLEID"	"INDEX_NAME"	"SITE_TYPE"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"
"10117_1_06-B-124-First_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.7989417989418	0.2010582	0
"10117_1_06-B-124-RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.5	0.5
"10117_1_06-B-124-Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.4018691588785	0.59813084	0
"10118_1_06-B-125-RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.75	0.25
"10118_1_06-B-125_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.80904522613065	0.19095477	0
"10119_1_06-B-126-First_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"10119_1_06-B-126-RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"10119_1_06-B-126-Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.75	0.25	0
"10120_1_06-B-127-First_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"10120_1_06-B-127-RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"10120_1_06-B-127-Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.75862068965517	0.24137931	0
"10230_1_07-B-002_Ponar Dredge 3 grabs"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"10230_1_07-B-003_NQ Kick"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"10230_1_07-B-004_NQ Large River sweep/jabs"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"1105_1_197-NQ pick_NQ Pick"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.5	0.5
"11840_1_07-B-010 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11840_1_07-B-010_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0.92857142857143	0.07142857	0	0	0
"11841_1_07-B-011 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"11841_1_07-B-011_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0.142857142857141	0.85714286	0	0	0
"11842_1_07-B-017 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.75	0.25
"11842_1_07-B-017 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.16751269035533	0.83248731	0
"11842_1_07-B-017_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11843_1_07-B-018 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11843_1_07-B-018 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11843_1_07-B-018_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.12299465240642	0.87700535	0
"11844_1_07-B-019 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.5	0.5
"11844_1_07-B-019 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11844_1_07-B-019_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11845_1_07-B-020 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.75	0.25
"11845_1_07-B-020 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11845_1_07-B-020_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11846_1_07-B-021 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11846_1_07-B-021_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.01449275362319	0.98550725	0
"11847_1_07-B-012 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.75	0.25
"11847_1_07-B-012 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"11847_1_07-B-012_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"11848_1_07-B-013 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.25	0.75
"11848_1_07-B-013_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"11849_1_07-B-014 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.75	0.25
"11849_1_07-B-014 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0.11538461538462	0.88461538	0	0	0
"11849_1_07-B-014_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0
"11850_1_07-B-015 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"11850_1_07-B-015_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	1	0	0	0	0
"11851_1_07-B-016 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0	1
"11851_1_07-B-016_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0
"11852_1_07-B-022 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0
"11852_1_07-B-022 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0.5	0.5	0
"11852_1_07-B-022 Third_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"11852_1_07-B-022_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"11853_1_07-B-023 RANQ_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	0	0.25	0.75
"11853_1_07-B-023 Second_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"11853_1_07-B-023 Third_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
"11853_1_07-B-023_Kick Net 2M2"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0
