"INDEX_NAME"	"INDEX_CLASS"	"SAMPLEID"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"
"BCG_CT_2015"	"bug01"	"22-B-020_2022-10-12_1_First"	0	0.5	0.5	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-021_2022-10-13_1_First"	0	0	0	0	1	0
"BCG_CT_2015"	"bug01"	"22-B-022_2022-10-13_1_Second"	0	0	0	0	1	0
"BCG_CT_2015"	"bug01"	"22-B-022_2022-10-13_2_First"	0	0	0	0.515151515151515	0.48484848	0
"BCG_CT_2015"	"bug01"	"22-B-023_2022-10-13_1_First"	0	0	0	0	1	0
"BCG_CT_2015"	"bug01"	"22-B-024_2022-10-13_2_First"	0	0	0	0	1	0
"BCG_CT_2015"	"bug01"	"22-B-025_2022-10-13_1_First"	0	1	0	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-026_2022-10-13_1_First"	0	0	1	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-027_2022-10-13_1_First"	0	0.17741935483871	0.82258065	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-028_2022-10-14_1_First"	0	0.0238095238095237	0.97619048	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-028_2022-10-14_1_Second"	0	0.134146341463415	0.86585366	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-029_2022-10-14_2_First"	0	0.0833333333333339	0.91666667	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-030_2022-10-14_1_First"	0	1	0	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-031_2022-10-14_1_First"	0	0	1	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-032_2022-10-14_1_First"	0	0	0.113207547169811	0.88679245	0	0
"BCG_CT_2015"	"bug01"	"22-B-033_2022-10-14_1_First"	0	0.616279069767442	0.38372093	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-034_2022-10-17_1_First"	0	0	1	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-035_2022-10-17_2_First"	0	0	1	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-036_2022-10-17_1_First"	0	0	1	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-037_2022-10-17_1_First"	0	0.0714285714285712	0.92857143	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-037_2022-10-17_1_Second"	0	0.5	0.5	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-038_2022-10-17_1_First"	0	1	0	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-039_2022-10-18_1_First"	0	1	0	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-040_2022-10-18_1_First"	0	0	1	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-041_2022-10-18_1_First"	0	0	1	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-042_2022-10-19_1_First"	0	0	1	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-043_2022-10-19_1_First"	0	0	0	0.101694915254237	0.89830508	0
"BCG_CT_2015"	"bug01"	"22-B-044_2022-10-19_1_First"	0	0	0	0	1	0
"BCG_CT_2015"	"bug01"	"22-B-045_2022-10-19_1_First"	0	0	0.625	0.375	0	0
"BCG_CT_2015"	"bug01"	"22-B-046_2022-10-19_1_First"	0	0	1	0	0	0
"BCG_CT_2015"	"bug01"	"22-B-047_2022-10-21_1_First"	0	0	1	0	0	0
