"SampleID"	"INDEX_NAME"	"INDEX_CLASS"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"	"Membership_Total"	"Membership_Total_QC"	"Primary_BCG_Level"	"Primary_Membership"	"Secondary_BCG_Level"	"Secondary_Membership"	"Membership_Diff"	"Membership_Close"	"Continuous_BCG_Level"	"BCG_Status"	"BCG_Status2"
"22-B-001_2022-09-21_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.0746268656716413	0.92537313	0	0	1	"PASS"	4	0.92537313	3	0.0746268656716413	0.850746264328359	NA	3.92537311701492	"4"	"4"
"22-B-002_2022-09-29_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0	1	"PASS"	4	1	NA	0	1	NA	4	"4"	"4"
"22-B-003_2022-09-29_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
"22-B-004_2022-09-29_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
"22-B-005_2022-09-30_1_First"	"BCG_CT_2015"	"bug01"	0	0.971698113207547	0.02830189	0	0	0	1	"PASS"	2	0.971698113207547	3	0.02830189	0.943396223207547	NA	2.02830189641509	"2"	"2"
"22-B-006_2022-09-30_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.5	0.5	0	1	"PASS"	4	0.5	5	0.5	0	"tie"	4.5	"4.5"	"4/5 tie"
"22-B-006_2022-09-30_1_Second"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0	1	"PASS"	4	1	NA	0	1	NA	4	"4"	"4"
"22-B-007_2022-09-30_1_First"	"BCG_CT_2015"	"bug01"	0	0.261904761904762	0.73809524	0	0	0	1	"PASS"	3	0.73809524	2	0.261904761904762	0.476190478095238	NA	2.73809524380952	"3"	"3+"
"22-B-008_2022-10-06_1_First"	"BCG_CT_2015"	"bug01"	0	0.151162790697674	0.84883721	0	0	0	1	"PASS"	3	0.84883721	2	0.151162790697674	0.697674419302326	NA	2.84883721139535	"3"	"3+"
"22-B-009_2022-10-06_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
"22-B-009_2022-10-06_1_Second"	"BCG_CT_2015"	"bug01"	0	0.272727272727272	0.72727273	0	0	0	1	"PASS"	3	0.72727273	2	0.272727272727272	0.454545457272728	NA	2.72727273545454	"3"	"3+"
"22-B-010_2022-10-06_1_First"	"BCG_CT_2015"	"bug01"	0	0.5	0.5	0	0	0	1	"PASS"	2	0.5	3	0.5	0	"tie"	2.5	"2.5"	"2/3 tie"
"22-B-011_2022-10-07_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.0900473933649288	0.90995261	0	1	"PASS"	5	0.90995261	4	0.0900473933649288	0.819905216635071	NA	4.90995262345972	"5"	"5"
"22-B-012_2022-10-07_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0.214953271028037	0.78504673	0	1	"PASS"	5	0.78504673	4	0.214953271028037	0.570093458971963	NA	4.78504673411215	"5"	"5+"
"22-B-013_2022-10-07_1_First"	"BCG_CT_2015"	"bug01"	0	0	0.732718894009216	0.26728111	0	0	1	"PASS"	3	0.732718894009216	4	0.26728111	0.465437784009216	NA	3.26728112202765	"3"	"3-"
"22-B-014_2022-10-11_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0	1	"PASS"	5	1	NA	0	1	NA	5	"5"	"5"
"22-B-015_2022-10-11_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0	1	"PASS"	5	1	NA	0	1	NA	5	"5"	"5"
"22-B-016_2022-10-11_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0	1	"PASS"	4	1	NA	0	1	NA	4	"4"	"4"
"22-B-017_2022-10-11_2_First"	"BCG_CT_2015"	"bug01"	0	0	0.051643192488263	0.94835681	0	0	1	"PASS"	4	0.94835681	3	0.051643192488263	0.896713617511737	NA	3.94835681746479	"4"	"4"
"22-B-018_2022-10-12_1_First"	"BCG_CT_2015"	"bug01"	0	0	1	0	0	0	1	"PASS"	3	1	NA	0	1	NA	3	"3"	"3"
"22-B-019_2022-10-12_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	1	0	0	1	"PASS"	4	1	NA	0	1	NA	4	"4"	"4"
"22-B-020_2022-10-12_1_First"	"BCG_CT_2015"	"bug01"	0	0.5	0.5	0	0	0	1	"PASS"	2	0.5	3	0.5	0	"tie"	2.5	"2.5"	"2/3 tie"
"22-B-021_2022-10-13_1_First"	"BCG_CT_2015"	"bug01"	0	0	0	0	1	0	1	"PASS"	5	1	NA	0	1	NA	5	"5"	"5"
