"SAMPLEID"	"INDEX_NAME"	"SITE_TYPE"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"
"2016001"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"2016002"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"2016003"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"2016004"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"2016005"	"BCG_CT_2015"	"fish01"	0	0	0	0	1	0
"2016006"	"BCG_CT_2015"	"fish01"	0	0	0	0	1	0
"2016007"	"BCG_CT_2015"	"fish02"	0	0.847560975609756	0.15243902	0	0	0
"2016008"	"BCG_CT_2015"	"fish02"	0	0	0.959677419354837	0.04032258	0	0
"2016009"	"BCG_CT_2015"	"fish01"	0	0	0	0	1	0
"2016010"	"BCG_CT_2015"	"fish01"	0.375	0.625	0	0	0	0
"2016011"	"BCG_CT_2015"	"fish01"	0	0.0392156862745101	0.96078431	0	0	0
"2016012"	"BCG_CT_2015"	"fish01"	0	0	1	0	0	0
"2016013"	"BCG_CT_2015"	"fish03"	0	0	0.75	0.25	0	0
"2016014"	"BCG_CT_2015"	"fish03"	0	0	0	1	0	0
"2016015"	"BCG_CT_2015"	"fish01"	0.61570247933884	0.38429752	0	0	0	0
"2016016"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"2016017"	"BCG_CT_2015"	"fish01"	0	0	0	0.666666666666667	0.33333333	0
"2016018"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"2016019"	"BCG_CT_2015"	"fish03"	0	0.31818181818182	0.68181818	0	0	0
"2016020"	"BCG_CT_2015"	"fish03"	0	0	1	0	0	0
"2016021"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"2016022"	"BCG_CT_2015"	"fish01"	0	0	0	0	1	0
"2016023"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"2016024"	"BCG_CT_2015"	"fish01"	0	0	0	0	1	0
"2016025"	"BCG_CT_2015"	"fish02"	1	0	0	0	0	0
"2016026"	"BCG_CT_2015"	"fish01"	0	0	0	0.94444444444444	0.05555556	0
"2016027"	"BCG_CT_2015"	"fish01"	0	0	1	0	0	0
"2016028"	"BCG_CT_2015"	"fish01"	0	0	0.5	0.5	0	0
"2016029"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"2016030"	"BCG_CT_2015"	"fish01"	0	0	0.75	0.25	0	0
"2016031"	"BCG_CT_2015"	"fish03"	0	0	0	1	0	0
"2016032"	"BCG_CT_2015"	"fish01"	0	0	1	0	0	0
"2016033"	"BCG_CT_2015"	"fish01"	0	0	0	0.94444444444444	0.05555556	0
"2016034"	"BCG_CT_2015"	"fish01"	0	0	0	0	1	0
"2016035"	"BCG_CT_2015"	"fish01"	0	1	0	0	0	0
"2016036"	"BCG_CT_2015"	"fish01"	0	0	0	0.666666666666667	0.33333333	0
"2016037"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"2016038"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"2016039"	"BCG_CT_2015"	"fish02"	0	0	0.903050108932467	0.09694989	0	0
"2016040"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"2016041"	"BCG_CT_2015"	"fish03"	0	0.578059071729958	0.42194093	0	0	0
"2016042"	"BCG_CT_2015"	"fish02"	0	1	0	0	0	0
"2016043"	"BCG_CT_2015"	"fish02"	0	0	0.792712066905615	0.20728793	0	0
"2016044"	"BCG_CT_2015"	"fish02"	0	0.72222222222222	0.27777778	0	0	0
"2016045"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"2016046"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"2016047"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"2016048"	"BCG_CT_2015"	"fish01"	0	0	0.75	0.25	0	0
"2016049"	"BCG_CT_2015"	"fish03"	0	0	0	1	0	0
"2016050"	"BCG_CT_2015"	"fish03"	0	0	0.25	0.75	0	0
"2016051"	"BCG_CT_2015"	"fish02"	0	0.62648221343874	0.37351779	0	0	0
"2016052"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"2016053"	"BCG_CT_2015"	"fish01"	0	0.25	0.75	0	0	0
"2016054"	"BCG_CT_2015"	"fish03"	0	0	0.75	0.25	0	0
"2016055"	"BCG_CT_2015"	"fish01"	0	0	1	0	0	0
"2016056"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"2016057"	"BCG_CT_2015"	"fish01"	0	0	0.75	0.25	0	0
"2016058"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"2016059"	"BCG_CT_2015"	"fish01"	0	0	0	0.333333333333333	0.66666667	0
"2016060"	"BCG_CT_2015"	"fish01"	0	0	0	0	1	0
"2016061"	"BCG_CT_2015"	"fish01"	0	1	0	0	0	0
"2016062"	"BCG_CT_2015"	"fish03"	0	0	0.5	0.5	0	0
"2016063"	"BCG_CT_2015"	"fish01"	0	0	0	0	1	0
"2016064"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"2016065"	"BCG_CT_2015"	"fish01"	0	0	0.5	0.5	0	0
"2016066"	"BCG_CT_2015"	"fish03"	0	0	1	0	0	0
"2016067"	"BCG_CT_2015"	"fish02"	0	0	0	0	0.383720930232558	0.61627907
"2016068"	"BCG_CT_2015"	"fish02"	0	0	0	0	1	0
"2016069"	"BCG_CT_2015"	"fish02"	0	0	0	0	1	0
"2016070"	"BCG_CT_2015"	"fish02"	0	0	0	0	1	0
"2016071"	"BCG_CT_2015"	"fish03"	0	0	0	0	1	0
"2017001"	"BCG_CT_2015"	"fish01"	0	0	0	0.3728813559322	0.62711864	0
"2017002"	"BCG_CT_2015"	"fish01"	0	0	0	0	0	1
"2017003"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"2017004"	"BCG_CT_2015"	"fish01"	0	0	0	0	1	0
"2017005"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"2017006"	"BCG_CT_2015"	"fish01"	0	0	0.1875	0.333333333333333	0.47916667	0
"2017007"	"BCG_CT_2015"	"fish02"	0	0	0	0.375	0.625	0
"2017008"	"BCG_CT_2015"	"fish01"	0	0	0	1	0	0
"2017009"	"BCG_CT_2015"	"fish02"	0	0	0.597402597402597	0.4025974	0	0
"2017010"	"BCG_CT_2015"	"fish02"	0	0.166666666666668	0.83333333	0	0	0
"2017011"	"BCG_CT_2015"	"fish03"	0	0	0.0925925925925999	0.90740741	0	0
"2017012"	"BCG_CT_2015"	"fish01"	0	0	1	0	0	0
"2017013"	"BCG_CT_2015"	"fish03"	0	0	0.669270833333333	0.33072917	0	0
"2017014"	"BCG_CT_2015"	"fish02"	0	0	0	1	0	0
"2017015"	"BCG_CT_2015"	"fish03"	0	0	0	1	0	0
"2017016"	"BCG_CT_2015"	"fish03"	0	0	0.75	0.25	0	0
"2017017"	"BCG_CT_2015"	"fish02"	0	0.0319148936170199	0.96808511	0	0	0
"2017018"	"BCG_CT_2015"	"fish02"	0	0	1	0	0	0
"2017019"	"BCG_CT_2015"	"fish01"	0	0	1	0	0	0
"2017020"	"BCG_CT_2015"	"fish03"	0	0	0.75	0.25	0	0
"2017021"	"BCG_CT_2015"	"fish03"	0	0	0.772727272727272	0.22727273	0	0
"2017022"	"BCG_CT_2015"	"fish01"	0	0	0	0	0	1
"2017023"	"BCG_CT_2015"	"fish03"	0	0	0.0222222222222199	0.97777778	0	0
"2017024"	"BCG_CT_2015"	"fish02"	0	0	0.435064935064933	0.56493506	0	0
