"SampleID"	"L1"	"L2"	"L3"	"L4"	"L5"	"L6"	"Memb.Total"	"Memb.QC"	"Lev.1.Memb"	"Lev.1.Name"	"Lev.2.Memb"	"Lev.2.Name"	"Lev.Memb.Diff"	"Lev.Memb.close"	"Lev.Prop.Num"	"Lev.Prop.Nar"
"14169_2016710_LF"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"14193_2017783_LF"	0	0.16666666666667	0.83333333	0	0	0	1	"PASS"	0.83333333	3	0.16666666666667	2	0.66666666333333	NA	2.83333332333334	"3+"
"14202_2017604_LF"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"14212_2016579_LF"	0	0	0.75	0.25	0	0	1	"PASS"	0.75	3	0.25	4	0.5	NA	3.25	"3-"
"14241_2016385_LF"	0	0	0.314814814814817	0.68518519	0	0	1	"PASS"	0.68518519	4	0.314814814814817	3	0.370370375185183	NA	3.68518520444445	"4+"
"14241_2017573_LF"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"14277_2017570_LF"	0	0	0	0.5	0.5	0	1	"PASS"	0.5	4	0.5	5	0	"tie"	4.5	"4/5 tie"
"14316_2016578_LF"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"14410_2017547_LF"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"14413_2017689_LF"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"14456_2016580_LF"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"14800_2016581_LF"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"14863_2017546_LF"	0	1	0	0	0	0	1	"PASS"	1	2	0	NA	1	NA	2	"2"
"14880_2016586_LF"	1	0	0	0	0	0	1	"PASS"	1	1	0	NA	1	NA	1	"1"
"15105_2017642_LF"	0	0	0.658150851581517	0.34184915	0	0	1	"PASS"	0.658150851581517	3	0.34184915	4	0.316301701581517	NA	3.34184915474455	"3-"
"15124_2016386_LF"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"15170_2017598_LF"	0.25	0.75	0	0	0	0	1	"PASS"	0.75	2	0.25	1	0.5	NA	1.75	"2+"
"15269_2016563_LF"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"15308_2016541_LF"	0	0	0.5	0.5	0	0	1	"PASS"	0.5	3	0.5	4	0	"tie"	3.5	"3/4 tie"
"15505_2016528_LF"	0.651567944250871	0.34843206	0	0	0	0	1	"PASS"	0.651567944250871	1	0.34843206	2	0.303135884250871	NA	1.34843206425087	"1-"
"15513_2016379_LF"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"15516_2017715_LF"	0	0.481308411214949	0.51869159	0	0	0	1	"PASS"	0.51869159	3	0.481308411214949	2	0.0373831787850505	"tie"	2.5186915924299	"3/2 tie"
"15529_2016735_LF"	0	1	0	0	0	0	1	"PASS"	1	2	0	NA	1	NA	2	"2"
"15761_2017524_LF"	0	0	0.817919075144508	0	0.18208092	0	1	"PASS"	0.817919075144508	3	0.18208092	5	0.635838155144508	NA	3.36416182543352	"3-"
"15839_2016713_LF"	0	0	0.63888888888889	0.333333333333333	0.02777778	0	1	"PASS"	0.63888888888889	3	0.333333333333333	4	0.305555555555557	NA	3.3888889	"3-"
"15839_2017756_LF"	0	1	0	0	0	0	1	"PASS"	1	2	0	NA	1	NA	2	"2"
"15882_2016720_LF"	0	0	0.396788990825687	0.60321101	0	0	1	"PASS"	0.60321101	4	0.396788990825687	3	0.206422019174313	NA	3.60321101247706	"4+"
"15887_2017787_LF"	0	0.5	0.5	0	0	0	1	"PASS"	0.5	2	0.5	3	0	"tie"	2.5	"2/3 tie"
"16095_2017806_LF"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"16095_2017807_LF"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"16103_2016718_LF"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"16111_2016330_LF"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"16120_2016395_LF"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"16292_2017601_LF"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"16453_2017571_LF"	0	0	0.75	0.25	0	0	1	"PASS"	0.75	3	0.25	4	0.5	NA	3.25	"3-"
"16479_2016304_LF"	0	0	0	0	0	1	1	"PASS"	1	6	0	NA	1	NA	6	"6"
"16539_2017617_LF"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"16540_2017596_LF"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"16548_2016324_LF"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"16583_2017605_LF"	0	0.75	0.25	0	0	0	1	"PASS"	0.75	2	0.25	3	0.5	NA	2.25	"2-"
"16583_2017606_LF"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"16614_2016322_LF"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"16633_2016554_LF"	0	0	0.15909090909091	0.84090909	0	0	1	"PASS"	0.84090909	4	0.15909090909091	3	0.68181818090909	NA	3.84090908727273	"4+"
"16675_2016522_LF"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"16675_2016523_LF"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"16692_2017541_LF"	0	0.25	0.75	0	0	0	1	"PASS"	0.75	3	0.25	2	0.5	NA	2.75	"3+"
"16714_2016525_LF"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"16725_2016550_LF"	0	0	0.880434782608695	0.11956522	0	0	1	"PASS"	0.880434782608695	3	0.11956522	4	0.760869562608695	NA	3.11956522782608	"3-"
"16726_2016510_LF"	0.31818181818182	0.68181818	0	0	0	0	1	"PASS"	0.68181818	2	0.31818181818182	1	0.36363636181818	NA	1.68181817818182	"2+"
"16761_2017551_LF"	1	0	0	0	0	0	1	"PASS"	1	1	0	NA	1	NA	1	"1"
"16761_2017552_LF"	1	0	0	0	0	0	1	"PASS"	1	1	0	NA	1	NA	1	"1"
"16778_2016524_LF"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"16787_2016376_LF"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"16809_2016350_LF"	0.328595317725753	0.25	0.25	0.17140468	0	0	1	"PASS"	0.328595317725753	1	0.25	2	0.0785953177257526	"tie"	2.26421403772575	"1/2 tie"
"16835_2016401_LF"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"16862_2016539_LF"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"16926_2017531_LF"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"16960_2016363_LF"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"16965_2017651_LF"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"17003_2016537_LF"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"17014_2017528_LF"	0	1	0	0	0	0	1	"PASS"	1	2	0	NA	1	NA	2	"2"
"17014_2017529_LF"	0	1	0	0	0	0	1	"PASS"	1	2	0	NA	1	NA	2	"2"
"17018_2016777_LF"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
"17035_2016555_LF"	0	0.65789473684211	0.34210526	0	0	0	1	"PASS"	0.65789473684211	2	0.34210526	3	0.31578947684211	NA	2.34210525368422	"2-"
"17035_2016556_LF"	1	0	0	0	0	0	1	"PASS"	1	1	0	NA	1	NA	1	"1"
"17072_2016509_LF"	0	0	0.5	0.5	0	0	1	"PASS"	0.5	3	0.5	4	0	"tie"	3.5	"3/4 tie"
"17088_2016518_LF"	1	0	0	0	0	0	1	"PASS"	1	1	0	NA	1	NA	1	"1"
"17096_2017519_LF"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"17110_2017521_LF"	0	0	0.93579507651364	0.06420492	0	0	1	"PASS"	0.93579507651364	3	0.06420492	4	0.87159015651364	NA	3.06420490954092	"3-"
"17112_2017580_LF"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"17112_2017584_LF"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"17120_2016549_LF"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"17130_2016553_LF"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"17133_2016561_LF"	0	0	1	0	0	0	1	"PASS"	1	3	0	NA	1	NA	3	"3"
"17134_2016562_LF"	0	0	0.056451612903225	0	0.94354839	0	1	"PASS"	0.94354839	5	0.056451612903225	3	0.887096777096775	NA	4.88709678870968	"5+"
"17157_2016538_LF"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"17167_2016741_LF"	0	0.77433628318584	0.22566372	0	0	0	1	"PASS"	0.77433628318584	2	0.22566372	3	0.54867256318584	NA	2.22566372637168	"2-"
"17167_2017759_LF"	0	0	0.7	0.3	0	0	1	"PASS"	0.7	3	0.3	4	0.4	NA	3.3	"3-"
"17174_2017641_LF"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"17174_2017643_LF"	0	0.60344827586207	0.39655172	0	0	0	1	"PASS"	0.60344827586207	2	0.39655172	3	0.20689655586207	NA	2.39655171172414	"2-"
"17176_2016597_LF"	0	0	0	0	1	0	1	"PASS"	1	5	0	NA	1	NA	5	"5"
"17186_2017786_LF"	0	0	0	1	0	0	1	"PASS"	1	4	0	NA	1	NA	4	"4"
